/* Format followed for first three pages of hackernews 
Title votes users time comments Rank 

Features selected - unigrams in title,votes,users reputation,time,no of comments 

Title text not required for training


*/


 10	28   523 	 1   3    1
 4  31   177     2   25   2
 9  70   18675   4   29   3
 7  40   3136    4   5    4
 12 197  1021    10  133  5
 10 38   11643   4   15   6
 10 122  15188   9   86   7
 5  10   116     2   0    8
 10 22   141     6   0    9
 6  26   283     7   10   10
 11 259  296     18  79   11
 5  107  21132   13  68   12
 8  16   19796   5   0    13
 12 165  23053   17  50   14
 8  71   2104    11  33   15
 4  144  3483    16  28   16
 6  178  5631    19  52   17
 3  11   589     4   4    18
 7  18   229     6   12   19
 4  144  196     19  52   20
 5  66   2986    6   12   21
 6  69   3851    7   66   22
 6  138  17245   20  10   23
 7  155  1061    20  19   24
 11 7    111     3   0    25
 4  91   1578    15  14   26
 2  165  143     24  75   27
 8  90   6430    18  32   28
 7  108  88      24  20   29
 8  47   709     13  24   30
 11 91   9218    20  17   31
 9  42   2359    7   26   32
 8  65   3603    17  14   33
 7  47   56096   17  3    34
 10 101  94      22  46   35
 14 204  165     17  133  36
 10 29   940     3   40   37
 6  36   7042    16  7    38
 5  347  776     24  124  39
 1  47   2042    20  11   40
 6  45   23056   19  35   41
 13 68   168     22  17   42
 7  3    5136    3   0    43
 4  42   168     22  14   44
 13 6    19798   5   0    45
 8  8    347     11  1    46
 8  44   21943   16  2    47
 13 734  630     24  143  48
 7  32   1406    19  4    49
 6  28   133     19  14   50
 7  63   15201   10  59   51
 4  32   80      20  13   52
 11 7    1823    12  0    53
 6  29   11916   20  21   54
 4  214  671     24  73   55
 3  30   19      24  13   56
 2  7    588     12  1    57
 8  64   2709    14  42   58
 9  28   14071   23  2    59
 4  61   509     19  16   60
 4  231  1372    24  121  61
 10 13   2892    15   0   62
 9  19   401     22   5   63
 6  32   53787   23   3   64
 8  31   1936    23   6   65
 9  13   155     15   0   66
 10 28   2863    23   8   67
 6  304  7152    24   171 68
 7  20   401     22   3   69
 4  7    7152    12   0   70
 4  331  32980   24   104 71
 4  227  16536   24   166 72
 4  4    2021    7    0   73
 1  82   693     24   64  74
 6  14   49      14   7   75
 4  345  661     48   194 76
 6  112  100     24   16  77
 6  13   13471   21   11  78
 4  70   14071   24   19  79
 8  152  278     24   92  80
 2  12   739     17   3   81
 4  5    42      8    0   82
 5  124  185     24   51  83
 8  447  983     48   98  84
 10 392  426     48   186 85
 4  1102 1164    72   578 86
 8  11   12737   20   4   87
 12 62   148     24   31  88
 4  24   244     22   8   89
 6  13   13471   23   11  90



